Rank,LLM_MODEL,GAMMA,MAX_HISTORY_SESSIONS,MAX_HISTORY_HUMAN,MAE_Episode1,Pearson_Episode1,MAE_Episode2,Pearson_Episode2,MAE_Avg,Pearson_Avg
42,gpt-4.1,0.9,2,6,0.11287614191546153,0.9303644051652568,0.14695607456579868,0.9366299021188846,0.1299161082406301,0.9334971536420706
43,gpt-5-chat,0.9,2,3,0.1256792827605571,0.9333473751437338,0.13556584115782863,0.9451946483589021,0.13062256195919286,0.9392710117513179
44,gpt-5-chat,0.6,3,3,0.097954017534408,0.9645073100904608,0.16377195148632598,0.9316858831652941,0.130862984510367,0.9480965966278774
45,gpt-5-chat,0.75,2,3,0.10746658455812418,0.9418343129176121,0.15589377155652293,0.9308339158442841,0.13168017805732354,0.936334114380948
46,gpt-5-chat,0.75,3,6,0.09149762641942234,0.954632087144661,0.17305384084757355,0.928500825991826,0.13227573363349795,0.9415664565682436
47,gpt-4.1,0.5,2,6,0.10388995090412943,0.966754318901981,0.16145163869753343,0.9169691996880749,0.13267079480083144,0.941861759295028
48,gpt-4.1,0.45,3,6,0.10484609889235341,0.9664712421883423,0.16254029468973538,0.9204129124055522,0.1336931967910444,0.9434420772969473
49,gpt-4.1,0.45,2,6,0.10000293007679807,0.9702207064180229,0.16933103157060886,0.9160318482809809,0.13466698082370346,0.9431262773495019
50,gpt-5-chat,0.65,2,3,0.11504767865061513,0.9472669306399161,0.15534050632156982,0.9376405510076364,0.1351940924860925,0.9424537408237763
51,gpt-5-chat,0.8,3,3,0.13611008386843654,0.92424789391701,0.13522610425658302,0.9457572267677613,0.1356680940625098,0.9350025603423857
52,gpt-5-chat,0.5,2,6,0.12360160954210435,0.9828475524447344,0.15077389404271369,0.9320302106896079,0.13718775179240902,0.9574388815671712
53,gpt-4.1,0.95,3,3,0.1237798648949471,0.95735853938991,0.1529304738624569,0.9328333107027811,0.13835516937870201,0.9450959250463455
54,gpt-5-chat,0.45,3,6,0.12373569383761213,0.9834296508363699,0.15539370018091658,0.929348799392009,0.13956469700926435,0.9563892251141894
55,gpt-4.1,0.75,3,6,0.11853802269027919,0.9382893948802011,0.1614967629729642,0.9267842189518477,0.14001739283162168,0.9325368069160245
56,gpt-4.1,0.7,2,3,0.10270784012774922,0.9861749634062409,0.17774055648746762,0.9220244336132946,0.1402241983076084,0.9540996985097677
57,gpt-5-chat,0.55,3,3,0.11279888702206962,0.9566299176886768,0.1679901457881211,0.9290528553413498,0.14039451640509537,0.9428413865150134
58,gpt-4.1,0.4,3,6,0.10903797413784629,0.9692052055536763,0.17427673490320425,0.9104873631468621,0.14165735452052527,0.9398462843502692
59,gpt-5-chat,0.9,2,6,0.101816284369575,0.9431908632216819,0.18191244015914898,0.9257686993395037,0.141864362264362,0.9344797812805927
60,gpt-5-chat,0.8,3,6,0.10664686491604107,0.9468413732353588,0.1771150619623024,0.926063230682904,0.14188096343917173,0.9364523019591313
61,gpt-4.1,0.95,2,6,0.12695558048165667,0.9201168783009301,0.157537683151945,0.9338666479414357,0.14224663181680083,0.9269917631211829
62,gpt-4.1,0.65,3,3,0.10560774191815146,0.9815562943772572,0.1812586902326678,0.9186339746885518,0.14343321607540963,0.9500951345329045
63,gpt-5-chat,0.95,2,6,0.1185222530678775,0.9306271906990028,0.168541574082142,0.9340229903591897,0.14353191357500975,0.9323250905290963
64,gpt-4.1,0.6,3,3,0.10665399882561293,0.9837819304930842,0.1804925934256547,0.9179814179723338,0.14357329612563383,0.950881674232709
65,gpt-5-chat,0.35,3,9,0.11122916847006446,0.9733970426967498,0.176269113627189,0.9165950120407929,0.14374914104862674,0.9449960273687713
66,gpt-5-chat,0.5,3,9,0.10033330616578483,0.9554673576708217,0.1891608411940035,0.9144496401026324,0.14474707367989417,0.934958498886727
67,gpt-5-chat,0.6,2,3,0.12087303481409443,0.9433604885925689,0.16863678146212224,0.9279712116980902,0.14475490813810835,0.9356658501453295
68,gpt-5-chat,0.85,3,3,0.1439366573305856,0.9242283194419386,0.14614861922221764,0.9423537827547809,0.14504263827640163,0.9332910510983597
